river_basin,selected
ALAMEDA CREEK,FALSE
AMARGOSA RIVER,FALSE
AMERICAN RIVER,TRUE
ANTELOPE VALLEY,FALSE
ARROYO GRANDE CREEK,FALSE
ARROYO PASAJERO,FALSE
BATTLE CREEK,TRUE
BEAR RIVER,TRUE
BUTTE CREEK,TRUE
CACHE CREEK,TRUE
CALAVERAS RIVER,TRUE
CALIENTE CREEK,FALSE
CALLEGUAS CREEK,FALSE
CANTUA CREEK,FALSE
CARMEL RIVER,FALSE
CARRIZO CREEK,FALSE
CARSON RIVER,FALSE
CHINA LAKE,FALSE
CHOWCHILLA RIVER,FALSE
COAST-MARIN,FALSE
COAST-MORRO BAY,FALSE
COAST-SAN MATEO,FALSE
COLORADO RIVER,FALSE
COSUMNES RIVER,TRUE
COTTONWOOD CREEK,TRUE
COYOTE WASH,FALSE
CUYAMA RIVER,FALSE
DELTA,TRUE
EAST BAY,FALSE
EEL RIVER,FALSE
FEATHER RIVER,TRUE
FRESNO RIVER,FALSE
GARCIA RIVER,FALSE
GUADALUPE RIVER,FALSE
GUALALA RIVER,FALSE
HAT CREEK,FALSE
JACALITOS CR,FALSE
KAWEAH RIVER,FALSE
KELLOGG CREEK,FALSE
KERN RIVER,TRUE
KINGS RIVER,TRUE
KLAMATH RIVER,FALSE
LAKE TAHOE,FALSE
LITTLEJOHN CREEK,FALSE
LOS ANGELES RIVER,FALSE
LOS GATOS CR (NEAR COALINGA),FALSE
LOS GATOS CR (NEAR SAN JOSE),FALSE
LYTLE CREEK,FALSE
MAD RIVER,FALSE
MATTOLE RIVER,FALSE
MC CLOUD RIVER,TRUE
MERCED RIVER,TRUE
MOJAVE DESERT,FALSE
MOJAVE RIVER,FALSE
MOKELUMNE RIVER,TRUE
MONO LAKE,FALSE
MONTEREY COAST,FALSE
NACIMIENTO RIVER,FALSE
NAPA RIVER,FALSE
NAVARRO RIVER,FALSE
NOYO RIVER,FALSE
OTAY RIVER,FALSE
OWENS RIVER,FALSE
PAJARO RIVER,FALSE
PETALUMA RIVER,FALSE
PIRU CREEK,FALSE
PIT RIVER,TRUE
PUTAH CREEK,TRUE
REDWOOD CREEK,FALSE
RUBICON RIVER,FALSE
RUSSIAN RIVER,FALSE
S BARBARA COAST,FALSE
SACRAMENTO RIVER,TRUE
SACTO VLY NE,TRUE
SACTO VLY WEST,TRUE
SALINAS RIVER,FALSE
SALMON RIVER,FALSE
SAN ANTONIO CR (SF BAY),FALSE
SAN ANTONIO CR (SOUTH COAST),FALSE
SAN BENITO RIVER,FALSE
SAN DIEGO RIVER,FALSE
SAN DIEGUITO RIVER,FALSE
SAN FRANCISCO BAY,FALSE
SAN GABRIEL RIVER,FALSE
SAN GREGORIO CREEK,FALSE
SAN JACINTO RIVER,FALSE
SAN JOAQUIN FLOOR,TRUE
SAN JOAQUIN RIVER,TRUE
SAN JOAQUIN VLY WEST,TRUE
SAN LORENZO RIVER,FALSE
SAN LUIS CREEK,FALSE
SAN LUIS OBISPO CREEK,FALSE
SAN LUIS REY RIVER,FALSE
SAN MATEO CREEK,FALSE
SANTA ANA AB NARROWS,FALSE
SANTA ANA RIVER,FALSE
SANTA CLARA RIVER,FALSE
SANTA CLARA VALLEY,FALSE
SANTA CRUZ CO COAST,FALSE
SANTA MARGARITA RIVER,FALSE
SANTA MARIA RIVER,FALSE
SANTA YNEZ RIVER,FALSE
SCOTT RIVER,FALSE
SHASTA RIVER,FALSE
SISQUOC RIVER,FALSE
SMITH RIVER,FALSE
SODA CREEK,FALSE
STANISLAUS RIVER,TRUE
STEVENS CREEK,FALSE
STONY CREEK,TRUE
SURPRISE VALLEY,FALSE
SUSAN RIVER,FALSE
SWEETWATER RIVER,FALSE
TEHACHAPI MOUNTAINS,FALSE
TRINITY RIVER,FALSE
TRUCKEE RIVER,FALSE
TULARE LAKE,FALSE
TULARE LAKE WESTSIDE,FALSE
TULE RIVER,FALSE
TUOLUMNE RIVER,TRUE
U SANTA CLARA RIVER,FALSE
ULATIS CREEK,FALSE
UPPER SALINAS RIVER,FALSE
VAN DUZEN RIVER,FALSE
VENTURA LA COASTAL,FALSE
VENTURA RIVER,FALSE
WALKER RIVER,FALSE
WEST SALTON SEA,FALSE
WHITE RIVER,FALSE
WHITEWATER RIVER,FALSE
YUBA RIVER,TRUE
